
# Surface 0 of 1 surfaces

# Curve title: ""Contour_contourtmp0.dat""

# Contour 0, label: 1.05e+03
-0.947136  0.999994  1050 
-1  0.970645  1050 


# Contour 1, label:    1e+03
-0.555359  0.999994  1000 
-0.583335  0.98195  1000 
-0.666668  0.930451  1000 
-0.689905  0.916661  1000 
-0.750001  0.882081  1000 
-0.833334  0.836564  1000 
-0.839452  0.833328  1000 
-0.916667  0.793654  1000 
-1  0.753135  1000 


# Contour 2, label:      950
-0.163582  0.999994  950 
-0.166669  0.997619  950 
-0.250002  0.935969  950 
-0.27744  0.916661  950 
-0.333335  0.878737  950 
-0.403994  0.833328  950 
-0.416668  0.825464  950 
-0.500002  0.775753  950 
-0.545489  0.749995  950 
-0.583335  0.729258  950 
-0.666668  0.685677  950 
-0.704741  0.666662  950 
-0.750001  0.644745  950 
-0.833334  0.606226  950 
-0.885315  0.583329  950 
-0.916667  0.569914  950 
-1  0.535624  950 


# Contour 3, label:      900
 0.228196  0.999994  900 
 0.166663  0.944006  900 
 0.135024  0.916661  900 
 0.0833302  0.873934  900 
 0.0314648  0.833328  900 
-2.911e-06  0.809722  900 
-0.083336  0.750666  900 
-0.0843225  0.749995  900 
-0.166669  0.696168  900 
-0.21464  0.666662  900 
-0.250002  0.645719  900 
-0.333335  0.598886  900 
-0.362404  0.583329  900 
-0.416668  0.555292  900 
-0.500002  0.514613  900 
-0.531371  0.499996  900 
-0.583335  0.476566  900 
-0.666668  0.440903  900 
-0.726458  0.416663  900 
-0.750001  0.407408  900 
-0.833334  0.375888  900 
-0.916667  0.346173  900 
-0.954227  0.333329  900 
-1  0.318114  900 


# Contour 4, label:      850
 0.619973  0.999994  850 
 0.583329  0.956794  850 
 0.547489  0.916661  850 
 0.499996  0.866448  850 
 0.466923  0.833328  850 
 0.416663  0.785656  850 
 0.376845  0.749995  850 
 0.333329  0.712979  850 
 0.275463  0.666662  850 
 0.249996  0.647253  850 
 0.166663  0.587526  850 
 0.160507  0.583329  850 
 0.0833302  0.533012  850 
 0.0290562  0.499996  850 
-2.911e-06  0.483058  850 
-0.083336  0.437114  850 
-0.122715  0.416663  850 
-0.166669  0.394716  850 
-0.250002  0.355469  850 
-0.299912  0.333329  850 
-0.333335  0.319034  850 
-0.416668  0.28512  850 
-0.500002  0.253473  850 
-0.509509  0.249996  850 
-0.583335  0.223873  850 
-0.666668  0.196129  850 
-0.750001  0.170071  850 
-0.761285  0.166663  850 
-0.833334  0.145549  850 
-0.916667  0.122432  850 
-1  0.100603  850 


# Contour 5, label:      800
 0.999994  0.980319  800 
 0.959953  0.916661  800 
 0.916661  0.853166  800 
 0.902381  0.833328  800 
 0.838012  0.749995  800 
 0.833328  0.744293  800 
 0.765564  0.666662  800 
 0.749995  0.650021  800 
 0.683418  0.583329  800 
 0.666662  0.567599  800 
 0.589484  0.499996  800 
 0.583329  0.494923  800 
 0.499996  0.430363  800 
 0.481029  0.416663  800 
 0.416663  0.372629  800 
 0.354405  0.333329  800 
 0.333329  0.320694  800 
 0.249996  0.273726  800 
 0.204628  0.249996  800 
 0.166663  0.231046  800 
 0.0833302  0.19209  800 
 0.0247086  0.166663  800 
-2.911e-06  0.156393  800 
-0.083336  0.123562  800 
-0.166669  0.0932645  800 
-0.19547  0.0833302  800 
-0.250002  0.0652188  800 
-0.333335  0.0391825  800 
-0.416668  0.0149473  800 
-0.47112 -2.911e-06  800 
-0.500002 -0.00766743  800 
-0.583335 -0.0288191  800 
-0.666668 -0.048645  800 
-0.750001 -0.0672662  800 
-0.826231 -0.083336  800 
-0.833334 -0.0847892  800 
-0.916667 -0.101308  800 
-1 -0.116908  800 


# Contour 6, label:      750
 0.999994  0.324585  750 
 0.918763  0.249996  750 
 0.916661  0.248216  750 
 0.833328  0.182826  750 
 0.810702  0.166663  750 
 0.749995  0.126205  750 
 0.678462  0.0833302  750 
 0.666662  0.0767018  750 
 0.583329  0.0330524  750 
 0.512904 -2.911e-06  750 
 0.499996 -0.00572331  750 
 0.416663 -0.0403986  750 
 0.333329 -0.0715909  750 
 0.299621 -0.083336  750 
 0.249996 -0.0998002  750 
 0.166663 -0.125435  750 
 0.0833302 -0.148832  750 
 0.0145037 -0.166669  750 
-2.911e-06 -0.170272  750 
-0.083336 -0.18999  750 
-0.166669 -0.208187  750 
-0.250002 -0.225032  750 
-0.333335 -0.240669  750 
-0.386088 -0.250002  750 
-0.416668 -0.255225  750 
-0.500002 -0.268808  750 
-0.583335 -0.281512  750 
-0.666668 -0.293419  750 
-0.750001 -0.304603  750 
-0.833334 -0.315128  750 
-0.916667 -0.325049  750 
-0.990126 -0.333335  750 
-1 -0.334418  750 


# Contour 7, label:      700
 0.999994 -0.33115  700 
 0.993383 -0.333335  700 
 0.916661 -0.356735  700 
 0.833328 -0.378642  700 
 0.749995 -0.397611  700 
 0.666662 -0.414195  700 
 0.653268 -0.416668  700 
 0.583329 -0.428819  700 
 0.499996 -0.441809  700 
 0.416663 -0.453426  700 
 0.333329 -0.463876  700 
 0.249996 -0.473327  700 
 0.166663 -0.481915  700 
 0.0833302 -0.489753  700 
-2.911e-06 -0.496936  700 
-0.037823 -0.500002  700 
-0.083336 -0.503542  700 
-0.166669 -0.509639  700 
-0.250002 -0.515282  700 
-0.333335 -0.520521  700 
-0.416668 -0.525397  700 
-0.500002 -0.529948  700 
-0.583335 -0.534204  700 
-0.666668 -0.538193  700 
-0.750001 -0.54194  700 
-0.833334 -0.545466  700 
-0.916667 -0.54879  700 
-1 -0.551928  700 


# Contour 8, label:      650
-1 -0.769439  650 
-0.916667 -0.77253  650 
-0.833334 -0.775804  650 
-0.750001 -0.779277  650 
-0.666668 -0.782967  650 
-0.583335 -0.786896  650 
-0.500002 -0.791088  650 
-0.416668 -0.79557  650 
